,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
111,108,Moussa Diabaté,PF,21,LAC,8,1,11.3,1.6,3.0,.542,0.0,0.0,,1.6,3.0,.542,.542,0.9,1.1,.778,2.5,1.5,4.0,0.3,0.4,0.1,0.6,1.3,4.1,2023
112,109,Mamadi Diakite,PF,26,CLE,12,2,7.2,0.8,1.8,.455,0.3,1.1,.308,0.5,0.8,.667,.545,0.0,0.0,,0.3,0.7,0.9,0.2,0.2,0.4,0.4,0.9,2.0,2023
113,110,Hamidou Diallo,SG,24,DET,31,0,14.7,2.6,5.1,.506,0.1,0.5,.188,2.5,4.6,.542,.516,1.5,2.5,.605,1.0,2.0,3.0,1.0,0.6,0.2,0.8,2.0,6.7,2023
114,111,Gorgui Dieng,C,33,SAS,12,1,11.8,1.5,3.7,.409,0.8,2.6,.290,0.8,1.1,.692,.511,0.3,0.3,.750,1.0,2.3,3.3,1.8,0.1,0.4,1.0,1.8,4.0,2023
115,112,Ousmane Dieng,SF,19,OKC,14,0,15.7,1.8,4.2,.424,0.7,2.4,.294,1.1,1.8,.600,.508,0.1,0.3,.250,0.4,2.4,2.9,1.4,0.4,0.3,0.5,0.9,4.4,2023
116,113,Spencer Dinwiddie,PG,29,DAL,36,36,32.8,5.7,12.3,.464,2.7,6.4,.414,3.0,5.8,.519,.572,2.2,2.7,.833,0.4,2.8,3.2,5.2,0.9,0.3,1.6,2.4,16.3,2023
117,114,Donte DiVincenzo,SG,26,GSW,27,8,22.4,2.4,6.2,.395,1.6,4.2,.381,0.9,2.0,.426,.524,0.7,0.9,.833,0.9,3.6,4.4,2.9,1.3,0.1,1.3,2.0,7.2,2023
118,115,Luka Dončić,PG,23,DAL,34,34,36.9,11.6,22.7,.511,3.0,8.2,.367,8.6,14.5,.592,.577,8.0,10.9,.735,1.0,7.7,8.7,8.9,1.7,0.6,3.6,2.9,34.2,2023
119,116,Tyler Dorsey,SG,26,DAL,3,0,2.7,1.3,1.7,.800,0.3,0.7,.500,1.0,1.0,1.000,.900,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0,2023
120,117,Luguentz Dort,SG,23,OKC,35,35,30.3,4.8,11.8,.405,1.7,5.3,.326,3.1,6.5,.469,.478,2.6,3.4,.758,1.4,2.8,4.1,2.3,1.1,0.3,1.5,3.2,13.9,2023
