,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
204,197,Aaron Holiday,PG,26,ATL,32,3,17.0,1.8,4.3,.434,0.7,1.6,.440,1.2,2.7,.430,.515,0.6,0.7,.826,0.5,1.0,1.5,1.6,0.7,0.2,0.7,1.7,5.0,2023
205,198,Jrue Holiday,PG,32,MIL,26,25,33.1,7.0,15.5,.453,2.2,6.1,.365,4.8,9.4,.510,.525,2.6,2.9,.893,1.3,4.0,5.3,7.5,1.5,0.5,3.3,2.0,18.9,2023
206,199,Justin Holiday,SG,33,ATL,26,0,15.4,1.8,4.7,.380,1.1,3.2,.345,0.7,1.4,.459,.500,0.0,0.0,,0.1,0.8,0.8,0.9,0.2,0.4,0.5,1.3,4.7,2023
207,200,Richaun Holmes,PF,29,SAC,20,0,9.6,1.4,2.1,.667,0.1,0.2,.667,1.3,2.0,.667,.690,0.4,0.5,.778,0.8,1.4,2.1,0.2,0.2,0.2,0.3,1.6,3.3,2023
208,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
209,201,Al Horford,C,36,BOS,27,27,30.8,3.7,7.4,.500,2.1,4.8,.450,1.6,2.6,.592,.645,0.2,0.3,.625,1.0,5.3,6.3,2.6,0.4,1.1,0.6,1.9,9.7,2023
210,202,Talen Horton-Tucker,SG,22,UTA,32,1,15.6,2.5,6.6,.382,0.6,2.7,.233,1.9,3.9,.484,.429,1.0,1.3,.744,0.5,2.0,2.5,2.3,0.8,0.3,1.2,1.3,6.7,2023
211,203,Danuel House Jr.,SF,29,PHI,29,2,17.4,1.7,3.6,.485,0.7,2.0,.339,1.0,1.5,.682,.583,0.9,1.2,.735,0.2,1.8,2.1,0.8,0.2,0.2,0.5,1.4,5.0,2023
212,204,Caleb Houstan,SF,20,ORL,25,1,17.8,1.4,3.6,.385,1.0,2.6,.364,0.4,1.0,.440,.516,0.4,0.5,.846,0.7,1.7,2.4,0.6,0.2,0.1,0.4,1.6,4.2,2023
213,205,Trevor Hudgins,PG,23,HOU,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2023
214,206,Kevin Huerter,SG,24,SAC,33,33,31.2,5.6,11.6,.484,2.9,7.0,.422,2.7,4.6,.579,.611,1.5,2.2,.694,0.6,2.6,3.2,2.8,1.1,0.3,1.5,2.6,15.7,2023
215,207,De'Andre Hunter,SF,25,ATL,28,28,30.7,5.4,12.0,.448,1.4,4.0,.354,3.9,7.9,.495,.507,2.8,3.4,.823,0.6,3.4,4.1,1.2,0.4,0.2,1.3,2.9,15.0,2023
216,208,Bones Hyland,PG,22,DEN,27,1,20.9,4.4,11.2,.394,2.4,6.1,.402,2.0,5.1,.384,.503,1.8,2.1,.845,0.3,1.8,2.1,3.4,0.6,0.3,1.8,1.7,13.1,2023
217,209,Serge Ibaka,PF,33,MIL,15,0,11.3,1.6,3.1,.511,0.4,1.0,.400,1.2,2.1,.563,.574,0.5,0.9,.615,0.9,1.9,2.8,0.3,0.0,0.4,0.5,1.3,4.1,2023
218,210,Joe Ingles,SF,35,MIL,6,0,18.7,1.8,5.7,.324,1.3,4.7,.286,0.5,1.0,.500,.441,0.5,0.5,1.000,0.8,1.2,2.0,2.8,0.3,0.0,2.3,1.7,5.5,2023
219,211,Brandon Ingram,SF,25,NOP,15,15,32.1,7.3,15.4,.472,1.9,4.0,.467,5.4,11.4,.474,.532,4.4,5.1,.868,0.5,4.6,5.1,4.7,0.9,0.7,2.8,2.2,20.8,2023
220,212,Kyrie Irving,PG,30,BRK,26,26,36.6,9.7,19.7,.491,3.1,8.4,.365,6.6,11.3,.585,.569,3.7,4.1,.915,0.8,4.2,5.0,4.7,0.7,0.8,2.3,2.7,26.2,2023
221,213,Jaden Ivey,SG,20,DET,35,34,29.9,5.2,12.5,.412,1.3,4.2,.315,3.9,8.4,.461,.465,3.4,4.7,.732,1.0,3.0,4.0,4.1,1.0,0.3,2.7,2.9,15.1,2023
222,214,Isaiah Jackson,PF,21,IND,29,3,15.6,2.5,4.6,.553,0.0,0.2,.167,2.5,4.3,.571,.557,1.7,2.5,.694,1.4,2.7,4.1,1.0,0.5,1.1,0.9,2.3,6.8,2023
223,215,Jaren Jackson Jr.,C,23,MEM,19,19,25.6,5.6,11.4,.493,1.5,4.3,.341,4.2,7.1,.585,.558,3.2,4.2,.772,1.9,4.1,6.1,0.8,1.1,3.2,1.6,2.9,15.9,2023
224,216,Justin Jackson,SF,27,BOS,14,0,4.6,0.2,1.0,.214,0.2,0.9,.250,0.0,0.1,.000,.321,0.0,0.0,,0.0,0.5,0.5,0.3,0.1,0.1,0.1,0.3,0.6,2023
225,217,Reggie Jackson,PG,32,LAC,35,35,28.7,4.5,10.7,.426,1.6,4.5,.361,2.9,6.1,.474,.503,1.5,1.7,.914,0.4,2.1,2.6,3.8,0.7,0.1,2.2,2.1,12.2,2023
226,218,LeBron James,PF,38,LAL,28,28,35.9,11.2,22.1,.506,2.1,6.8,.309,9.1,15.3,.593,.553,4.0,5.4,.753,1.3,6.9,8.1,6.6,1.0,0.6,3.2,1.8,28.5,2023
227,219,Ty Jerome,SG,25,GSW,21,1,17.5,2.6,5.2,.505,0.9,2.2,.391,1.8,3.0,.587,.587,1.1,1.1,.958,0.1,1.6,1.7,2.4,0.3,0.1,0.6,1.4,7.2,2023
228,220,Isaiah Joe,SG,23,OKC,29,1,12.3,2.1,4.4,.465,1.6,3.6,.448,0.4,0.8,.542,.647,0.7,0.8,.826,0.2,1.6,1.8,1.0,0.6,0.1,0.4,1.2,6.4,2023
229,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
230,221,Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,.500,0.0,0.5,.000,0.8,1.0,.750,.500,0.3,0.5,.500,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,2023
231,222,Cameron Johnson,PF,26,PHO,8,8,25.3,4.6,10.4,.446,2.8,6.4,.431,1.9,4.0,.469,.578,1.0,1.4,.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13.0,2023
232,223,Jalen Johnson,SF,21,ATL,34,6,16.1,2.1,4.6,.446,0.4,1.6,.214,1.7,3.0,.574,.484,0.8,1.1,.711,0.7,3.1,3.8,1.1,0.5,0.5,0.5,1.7,5.3,2023
233,224,James Johnson,PF,35,IND,9,0,7.9,0.8,2.1,.368,0.1,0.8,.143,0.7,1.3,.500,.395,0.0,0.0,,0.0,0.9,0.9,0.6,0.1,0.3,0.2,1.9,1.7,2023
234,225,Keldon Johnson,SF,23,SAS,32,32,32.7,7.6,18.0,.423,2.6,7.3,.353,5.0,10.7,.471,.495,3.6,4.8,.742,0.9,4.0,4.9,2.8,0.8,0.2,2.2,2.0,21.4,2023
235,226,Keon Johnson,SG,20,POR,15,0,13.8,2.4,6.2,.387,1.1,3.2,.333,1.3,3.0,.444,.473,0.3,0.7,.455,0.4,1.5,1.9,1.3,0.6,0.3,1.6,1.2,6.2,2023
236,227,Stanley Johnson,SF,26,SAS,9,0,13.7,2.3,4.0,.583,0.7,1.6,.429,1.7,2.4,.682,.667,0.8,1.2,.636,0.3,2.3,2.7,1.9,0.6,0.4,0.9,1.6,6.1,2023
237,228,Nikola Jokić,C,27,DEN,32,32,33.7,9.6,15.6,.616,0.8,2.4,.338,8.8,13.2,.667,.642,5.5,6.8,.806,2.1,8.8,10.9,9.5,1.4,0.7,3.5,2.8,25.5,2023
238,229,Damian Jones,C,27,LAL,18,1,9.3,1.1,2.0,.556,0.0,0.2,.000,1.1,1.8,.606,.556,0.8,1.1,.750,1.0,1.9,2.9,0.2,0.2,0.6,0.4,0.8,3.1,2023
239,230,Derrick Jones Jr.,SF,25,CHI,25,0,13.8,1.9,3.8,.500,0.4,1.3,.344,1.5,2.6,.578,.557,1.2,1.4,.833,0.9,1.4,2.3,0.6,0.5,0.7,0.4,1.3,5.5,2023
240,231,Herbert Jones,SF,24,NOP,24,24,28.4,3.5,8.3,.420,0.9,3.1,.284,2.6,5.3,.500,.473,2.4,3.1,.760,1.3,2.5,3.8,2.3,1.4,0.7,1.3,3.3,10.3,2023
241,232,Kai Jones,C,22,CHO,23,0,9.6,1.2,2.3,.500,0.1,0.5,.273,1.0,1.9,.558,.528,0.3,0.5,.727,0.8,1.3,2.1,0.2,0.2,0.4,0.4,1.3,2.8,2023
242,233,Tre Jones,PG,23,SAS,35,35,30.1,4.9,11.1,.441,0.8,2.6,.297,4.1,8.5,.485,.476,2.4,2.7,.874,0.8,2.9,3.7,6.5,1.4,0.2,1.9,1.7,12.9,2023
243,234,Tyus Jones,PG,26,MEM,35,5,23.3,3.8,8.6,.443,1.4,3.8,.379,2.4,4.8,.494,.527,0.9,1.3,.750,0.4,1.8,2.2,4.6,0.8,0.1,1.0,0.4,10.0,2023
244,235,DeAndre Jordan,C,34,DEN,27,3,14.3,2.0,2.7,.753,0.0,0.0,1.000,2.0,2.7,.750,.760,0.6,1.3,.472,1.3,3.9,5.2,0.8,0.2,0.6,1.1,1.6,4.7,2023
245,236,Cory Joseph,PG,31,DET,32,2,15.3,1.7,4.1,.402,0.6,1.8,.339,1.1,2.4,.447,.473,0.7,0.9,.750,0.3,1.0,1.3,3.1,0.4,0.1,0.6,1.4,4.6,2023
246,237,Nikola Jović,PF,19,MIA,15,8,13.6,1.9,4.6,.406,0.5,2.3,.229,1.3,2.3,.588,.464,1.2,1.3,.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5,2023
247,238,Mfiondu Kabengele,PF,25,BOS,1,0,8.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,3.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2023
248,239,Frank Kaminsky,C,29,ATL,17,0,7.6,1.0,1.8,.567,0.5,1.1,.444,0.5,0.7,.750,.700,0.5,0.5,1.000,0.1,1.4,1.5,0.9,0.1,0.0,0.4,0.9,2.9,2023
249,240,Trevor Keels,SG,19,NYK,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
250,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
251,241,Luke Kennard,SG,26,LAC,26,7,22.2,3.1,6.3,.497,2.0,4.2,.472,1.2,2.1,.545,.653,0.5,0.6,.933,0.2,2.4,2.6,1.2,0.5,0.1,0.9,1.4,8.7,2023
252,242,Walker Kessler,C,21,UTA,36,6,18.8,2.9,4.0,.729,0.0,0.0,,2.9,4.0,.729,.729,1.0,1.9,.544,2.4,4.0,6.5,0.6,0.2,1.8,0.7,2.3,6.9,2023
253,243,Braxton Key,SF,25,DET,3,0,3.0,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.7,0.7,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.3,2023
254,244,Corey Kispert,SF,23,WAS,29,18,28.1,3.3,7.0,.478,1.7,4.3,.397,1.6,2.7,.610,.601,1.0,1.2,.778,0.5,2.0,2.6,1.5,0.6,0.1,0.7,1.4,9.4,2023
255,245,Maxi Kleber,C,31,DAL,22,0,25.6,2.3,4.7,.490,1.1,3.0,.369,1.2,1.8,.692,.606,0.5,0.6,.786,0.9,2.7,3.5,1.0,0.3,1.0,0.6,2.2,6.2,2023
256,246,Nathan Knight,PF,25,MIN,17,0,4.9,0.9,1.2,.714,0.1,0.2,.250,0.8,1.0,.824,.738,0.6,0.9,.733,0.3,0.6,0.9,0.2,0.2,0.1,0.5,0.8,2.5,2023
257,247,Kevin Knox,SF,23,DET,31,0,14.0,2.0,4.4,.452,1.0,2.9,.360,0.9,1.5,.630,.570,0.6,0.8,.800,0.5,1.9,2.4,0.4,0.4,0.3,0.6,1.7,5.6,2023
258,248,Christian Koloko,C,22,TOR,34,19,16.2,1.4,2.9,.470,0.0,0.2,.125,1.4,2.7,.500,.475,1.0,1.5,.667,1.6,1.7,3.3,0.5,0.3,1.2,0.5,2.6,3.8,2023
259,249,John Konchar,SG,26,MEM,33,20,25.6,2.8,6.1,.460,1.3,3.5,.377,1.5,2.6,.570,.568,0.5,0.6,.850,1.1,4.5,5.5,1.6,1.1,0.3,0.6,1.7,7.4,2023
260,250,Furkan Korkmaz,SG,25,PHI,20,0,11.5,1.4,3.5,.391,0.6,1.7,.324,0.8,1.8,.457,.471,0.9,1.4,.667,0.3,1.2,1.4,0.9,0.3,0.2,0.7,0.5,4.2,2023
261,251,Luke Kornet,C,27,BOS,30,0,12.4,1.7,2.5,.667,0.1,0.2,.333,1.6,2.3,.696,.680,0.5,0.6,.833,1.4,2.0,3.4,0.7,0.2,0.8,0.4,1.4,3.9,2023
262,252,Vit Krejci,PG,22,ATL,16,0,6.6,0.6,1.6,.385,0.3,1.1,.294,0.3,0.6,.556,.481,0.1,0.1,.500,0.1,0.6,0.7,0.6,0.1,0.1,0.2,0.6,1.6,2023
263,253,Jonathan Kuminga,PF,20,GSW,33,4,18.6,2.8,6.0,.472,0.5,1.9,.258,2.4,4.2,.569,.513,1.4,2.0,.672,1.0,2.2,3.2,1.7,0.5,0.5,1.5,2.3,7.5,2023
264,254,Kyle Kuzma,PF,27,WAS,36,36,35.3,8.3,17.7,.469,2.6,7.5,.346,5.7,10.2,.559,.542,2.5,3.6,.700,0.9,6.6,7.5,3.6,0.6,0.4,2.8,2.4,21.7,2023
265,255,Anthony Lamb,SF,25,GSW,29,3,18.5,2.2,4.4,.492,1.2,3.0,.386,1.0,1.4,.725,.625,0.4,0.6,.688,0.7,2.3,3.1,1.6,0.7,0.3,1.0,2.1,5.9,2023
266,256,Jock Landale,C,27,PHO,31,2,14.1,2.4,4.6,.517,0.3,1.4,.214,2.1,3.3,.644,.549,1.6,1.9,.817,1.7,2.2,3.9,0.8,0.2,0.6,0.8,1.8,6.6,2023
267,257,Romeo Langford,SG,23,SAS,21,9,19.4,2.7,5.5,.487,0.3,1.4,.241,2.3,4.1,.570,.517,0.8,1.2,.680,1.4,1.1,2.6,1.0,0.7,0.4,0.8,1.7,6.5,2023
268,258,Jake LaRavia,PF,21,MEM,22,0,14.9,1.4,3.3,.411,0.9,2.3,.373,0.5,1.0,.500,.541,0.3,0.3,.857,0.7,1.7,2.5,0.8,0.5,0.1,0.7,1.7,3.9,2023
269,259,Zach LaVine,SG,27,CHI,32,32,34.9,8.2,17.8,.460,2.8,7.4,.381,5.4,10.4,.517,.540,3.4,4.2,.827,0.5,3.7,4.3,4.2,1.1,0.0,2.4,2.3,22.6,2023
270,260,A.J. Lawson,SG,22,TOT,2,0,1.5,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,1.0,2023
271,260,A.J. Lawson,SG,22,MIN,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2023
272,260,A.J. Lawson,SG,22,DAL,1,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
273,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
274,261,Damion Lee,SG,30,PHO,37,2,21.9,2.8,6.0,.466,1.9,3.8,.493,0.9,2.2,.422,.621,1.0,1.1,.925,0.6,2.8,3.4,1.2,0.4,0.1,1.0,1.5,8.5,2023
275,262,Saben Lee,PG,23,PHI,2,0,5.0,1.5,2.0,.750,0.0,0.5,.000,1.5,1.5,1.000,.750,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.5,0.5,3.0,2023
276,263,Alex Len,C,29,SAC,9,1,4.3,0.6,1.1,.500,0.0,0.1,.000,0.6,1.0,.556,.500,0.3,0.4,.750,0.3,1.1,1.4,0.2,0.0,0.0,0.2,0.8,1.4,2023
277,264,Kawhi Leonard,SF,31,LAC,16,14,28.9,6.6,13.8,.477,1.1,3.9,.274,5.5,9.9,.557,.516,3.1,4.0,.781,1.1,5.0,6.1,3.9,0.9,0.3,1.6,1.5,17.3,2023
278,265,Caris LeVert,SG,28,CLE,33,17,30.7,4.4,10.9,.403,1.5,4.2,.350,2.9,6.7,.436,.471,1.9,2.5,.750,0.8,3.4,4.2,3.7,0.8,0.2,1.7,2.4,12.2,2023
279,266,Kira Lewis Jr.,PG,21,NOP,2,0,11.5,2.0,5.5,.364,0.5,1.5,.333,1.5,4.0,.375,.409,1.0,1.0,1.000,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,5.5,2023
280,267,Damian Lillard,PG,32,POR,23,23,35.4,8.4,19.2,.439,4.2,11.3,.373,4.2,7.9,.533,.549,6.7,7.4,.906,0.7,3.3,4.0,7.1,0.8,0.3,3.5,2.0,27.8,2023
281,268,Nassir Little,PF,22,POR,21,0,15.3,2.0,4.3,.473,0.8,2.0,.372,1.3,2.3,.563,.560,0.7,1.0,.667,0.3,2.0,2.4,0.9,0.4,0.1,0.7,0.8,5.5,2023
282,269,Isaiah Livers,PF,24,DET,22,7,19.5,1.9,4.7,.404,1.3,3.7,.358,0.6,1.0,.565,.543,0.7,0.9,.750,0.5,1.8,2.3,0.6,0.4,0.5,0.6,1.9,5.8,2023
283,270,Kenneth Lofton Jr.,PF,20,MEM,5,0,4.6,1.4,2.8,.500,0.0,0.2,.000,1.4,2.6,.538,.500,0.2,0.6,.333,0.2,0.6,0.8,0.8,0.0,0.0,0.2,0.6,3.0,2023
284,271,Kevon Looney,C,26,GSW,37,37,22.9,2.7,4.4,.627,0.0,0.0,,2.7,4.4,.627,.627,1.0,1.6,.617,2.6,5.2,7.9,2.9,0.4,0.5,0.4,2.8,6.5,2023
285,272,Brook Lopez,C,34,MIL,34,34,30.6,5.5,10.9,.507,2.0,5.1,.385,3.6,5.8,.614,.597,1.8,2.2,.800,1.8,4.1,5.9,1.1,0.6,2.6,1.4,2.4,14.8,2023
286,273,Robin Lopez,C,34,CLE,23,1,9.0,1.4,2.1,.653,0.0,0.0,1.000,1.3,2.1,.646,.663,0.4,0.5,.750,0.8,0.8,1.6,0.4,0.0,0.1,0.7,1.2,3.2,2023
287,274,Kevin Love,PF,34,CLE,29,2,20.3,3.0,7.2,.421,2.0,5.1,.395,1.0,2.1,.484,.560,1.4,1.7,.875,0.9,6.1,7.0,2.1,0.2,0.2,1.3,1.6,9.5,2023
288,275,Kyle Lowry,PG,36,MIA,32,32,35.5,4.3,10.6,.406,2.3,6.6,.354,2.0,4.0,.492,.516,2.8,3.3,.856,0.8,3.8,4.6,5.8,1.1,0.5,2.2,2.8,13.8,2023
289,276,Trey Lyles,PF,27,SAC,28,0,14.6,2.1,5.0,.426,1.1,3.2,.337,1.1,1.9,.577,.532,0.7,1.0,.704,1.0,2.4,3.4,0.8,0.3,0.4,0.9,1.1,6.0,2023
290,277,Théo Maledon,PG,21,CHO,35,1,16.1,1.8,4.3,.408,0.6,1.8,.323,1.2,2.6,.467,.474,1.4,1.6,.875,0.3,2.1,2.4,2.5,0.8,0.2,1.0,1.0,5.5,2023
291,278,Sandro Mamukelashvili,C,23,MIL,15,0,8.1,0.8,2.3,.343,0.3,1.2,.278,0.5,1.1,.412,.414,0.3,0.7,.500,0.7,1.5,2.2,0.6,0.1,0.2,0.3,0.7,2.3,2023
292,279,Terance Mann,SG,26,LAC,37,13,20.7,3.1,5.9,.523,0.7,2.0,.347,2.4,3.9,.615,.583,1.0,1.3,.735,1.0,2.6,3.6,1.9,0.6,0.3,1.0,1.8,7.8,2023
293,280,Tre Mann,PG,21,OKC,31,4,20.2,3.4,9.0,.378,1.4,4.8,.295,2.0,4.2,.473,.457,0.5,0.8,.708,0.5,1.9,2.5,1.6,0.7,0.1,1.0,1.5,8.7,2023
294,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
295,281,Boban Marjanović,C,34,HOU,12,0,4.2,1.0,1.4,.706,0.0,0.1,.000,1.0,1.3,.750,.706,0.8,0.9,.818,0.4,0.9,1.3,0.2,0.1,0.1,0.3,0.2,2.8,2023
296,282,Lauri Markkanen,SF,25,UTA,36,36,34.0,8.3,15.6,.531,3.0,7.1,.429,5.3,8.5,.616,.628,4.2,4.9,.857,1.9,6.5,8.5,1.9,0.6,0.6,1.9,2.1,23.8,2023
297,283,Naji Marshall,SF,25,NOP,34,9,23.1,3.0,7.0,.430,1.0,3.1,.330,2.0,3.9,.511,.504,1.8,2.1,.822,0.7,2.6,3.4,2.3,0.8,0.2,1.0,1.5,8.8,2023
298,284,Caleb Martin,PF,27,MIA,32,32,32.3,4.1,8.8,.465,1.5,3.8,.397,2.6,5.0,.516,.550,1.0,1.3,.786,1.6,3.3,4.8,1.9,1.1,0.4,1.2,1.8,10.7,2023
299,285,Cody Martin,SF,27,CHO,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
300,286,Kenyon Martin Jr.,SF,22,HOU,36,8,24.1,4.1,7.5,.552,0.8,2.7,.309,3.3,4.8,.688,.607,1.4,2.1,.662,1.4,3.5,4.8,1.4,0.4,0.3,1.1,1.7,10.5,2023
301,287,Tyrese Martin,SG,23,ATL,11,0,3.8,0.5,1.5,.375,0.1,0.5,.200,0.5,1.0,.455,.406,0.2,0.2,1.000,0.2,0.4,0.5,0.0,0.1,0.0,0.1,0.2,1.4,2023
302,288,Garrison Mathews,SG,26,HOU,29,0,13.2,1.2,3.5,.356,1.1,3.3,.344,0.1,0.2,.600,.520,1.1,1.1,.939,0.2,1.1,1.2,0.5,0.6,0.1,0.3,1.3,4.7,2023
303,289,Bennedict Mathurin,SG,20,IND,37,2,28.1,5.4,13.0,.418,1.7,5.0,.337,3.8,8.0,.468,.482,4.7,5.8,.817,1.1,2.8,3.9,1.5,0.6,0.1,1.8,1.9,17.2,2023
304,290,Wesley Matthews,SG,36,MIL,25,0,15.1,1.0,2.9,.329,0.8,2.4,.322,0.2,0.6,.357,.459,0.4,0.4,.900,0.8,0.9,1.7,0.6,0.5,0.2,0.4,1.6,3.0,2023
305,291,Tyrese Maxey,SG,22,PHI,16,15,35.3,8.1,17.7,.459,2.8,6.6,.419,5.4,11.1,.483,.537,3.0,4.1,.738,0.4,2.9,3.3,4.2,0.9,0.3,1.9,2.3,22.0,2023
306,292,Miles McBride,PG,22,NYK,25,2,14.2,1.4,4.0,.347,0.6,2.6,.234,0.8,1.5,.541,.421,0.5,0.8,.684,0.2,0.6,0.8,1.4,0.7,0.0,0.5,0.9,3.9,2023
307,293,CJ McCollum,SG,31,NOP,32,32,35.1,7.5,17.9,.418,2.8,7.2,.384,4.8,10.8,.441,.495,2.0,2.5,.823,0.9,4.0,4.9,6.0,1.1,0.6,2.6,1.8,19.8,2023
308,294,T.J. McConnell,PG,30,IND,34,0,17.2,2.4,5.2,.452,0.2,0.6,.316,2.2,4.6,.468,.469,0.5,0.6,.842,0.6,1.7,2.3,4.3,1.0,0.1,1.5,1.2,5.4,2023
309,295,Jaden McDaniels,PF,22,MIN,34,34,30.7,4.4,8.6,.519,1.1,3.0,.369,3.3,5.5,.601,.584,1.2,1.5,.769,1.3,2.4,3.7,1.7,1.1,1.1,1.5,3.5,11.2,2023
310,296,Jalen McDaniels,SF,25,CHO,37,10,25.9,3.9,8.5,.457,1.3,3.5,.364,2.6,5.0,.522,.532,1.6,1.8,.882,0.9,3.7,4.6,2.2,1.0,0.5,1.3,3.0,10.6,2023
311,297,Doug McDermott,SF,31,SAS,31,0,20.5,3.9,8.3,.471,2.0,4.8,.416,1.9,3.5,.546,.591,0.6,0.9,.741,0.4,1.8,2.2,1.5,0.1,0.2,1.0,1.7,10.5,2023
312,298,JaVale McGee,C,35,DAL,23,7,8.3,1.8,3.0,.609,0.0,0.2,.250,1.8,2.8,.631,.616,0.6,1.0,.542,0.7,1.7,2.3,0.2,0.1,0.5,0.9,1.1,4.3,2023
313,299,Bryce McGowens,SG,20,CHO,13,0,14.3,1.4,3.5,.400,0.5,1.2,.375,0.9,2.2,.414,.467,0.8,0.9,.917,0.2,1.2,1.4,1.0,0.3,0.3,0.5,0.5,4.1,2023
314,300,Rodney McGruder,SG,31,DET,13,2,10.1,1.0,2.8,.351,0.7,2.1,.333,0.3,0.8,.400,.473,0.3,0.5,.667,0.7,1.0,1.7,0.8,0.2,0.0,0.4,0.5,3.0,2023
315,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
316,301,Jordan McLaughlin,PG,26,MIN,18,0,15.9,1.6,3.7,.424,0.4,1.9,.235,1.1,1.8,.625,.485,0.5,0.5,1.000,0.4,1.3,1.7,3.6,0.8,0.1,0.8,0.4,4.1,2023
317,302,De'Anthony Melton,PG,24,PHI,32,25,30.2,4.5,10.4,.429,2.4,6.2,.392,2.0,4.2,.485,.547,0.6,0.9,.690,1.1,3.7,4.8,3.3,2.1,0.5,1.6,2.4,12.0,2023
318,303,Chimezie Metu,C,25,SAC,25,0,11.1,2.1,3.6,.584,0.2,0.8,.238,1.9,2.7,.691,.612,0.6,0.8,.800,0.6,2.4,3.0,0.6,0.4,0.2,0.7,1.1,5.0,2023
319,304,Khris Middleton,SF,31,MIL,7,7,24.4,3.6,11.0,.325,1.6,5.9,.268,2.0,5.1,.389,.396,2.4,2.7,.895,0.1,2.4,2.6,4.4,0.6,0.1,1.6,2.6,11.1,2023
320,305,Patty Mills,PG,34,BRK,24,1,11.8,2.0,4.2,.480,1.3,2.9,.435,0.8,1.3,.581,.630,0.6,0.6,.933,0.2,0.8,1.0,1.3,0.3,0.0,0.5,0.5,5.8,2023
321,306,Shake Milton,SG,26,PHI,31,9,24.5,4.2,8.2,.510,0.9,2.3,.375,3.3,5.9,.563,.563,1.6,1.9,.831,0.6,2.5,3.1,3.3,0.4,0.2,1.6,1.7,10.8,2023
322,307,Josh Minott,SF,20,MIN,6,0,2.5,0.5,0.8,.600,0.0,0.2,.000,0.5,0.7,.750,.600,0.7,0.7,1.000,0.3,0.2,0.5,0.3,0.2,0.2,0.0,0.2,1.7,2023
323,308,Davion Mitchell,PG,24,SAC,33,3,19.6,2.6,5.7,.455,0.8,2.5,.305,1.8,3.2,.571,.521,0.4,0.5,.706,0.2,1.3,1.5,2.6,0.5,0.2,1.1,1.5,6.3,2023
